+-----------------------------------------------------------------------------------------------------------------+
|                                               ava_lora_rouge_score                                              |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                            Section                             | Score  | Type | Precision | Recall | F-Measure |
|                  PNLPhub/FarsTail - evaluate                   |        |      |           |        |           |
|                                                                | rougeL | low  |   1.59    | 42.28  |    3.04   |
|                                                                | rougeL | mid  |   1.97    | 51.22  |    3.77   |
|                                                                | rougeL | high |   2.40    | 59.36  |    4.56   |
|                 persiannlp/parsinlu_entailment                 |        |      |           |        |           |
|          persiannlp/parsinlu_entailment - GPT3_Style           |        |      |           |        |           |
|                                                                | rougeL | low  |   2.25    | 54.47  |    4.22   |
|                                                                | rougeL | mid  |   2.98    | 63.01  |    5.40   |
|                                                                | rougeL | high |   4.12    | 71.14  |    7.08   |
| persiannlp/parsinlu_entailment - based_on_the_previous_passage |        |      |           |        |           |
|                                                                | rougeL | low  |   3.45    | 91.87  |    6.63   |
|                                                                | rougeL | mid  |   3.78    | 95.93  |    7.22   |
|                                                                | rougeL | high |   4.16    | 99.19  |    7.89   |
|         persiannlp/parsinlu_entailment - can_you_infer         |        |      |           |        |           |
|                                                                | rougeL | low  |   0.38    | 12.20  |    0.74   |
|                                                                | rougeL | mid  |   0.89    | 18.70  |    1.49   |
|                                                                | rougeL | high |   1.86    | 25.20  |    2.86   |
|        persiannlp/parsinlu_entailment - does_this_imply        |        |      |           |        |           |
|                                                                | rougeL | low  |   3.66    | 94.31  |    7.04   |
|                                                                | rougeL | mid  |   3.92    | 97.56  |    7.50   |
|                                                                | rougeL | high |   4.24    | 100.00 |    8.05   |
|          persiannlp/parsinlu_entailment - confidence           |        |      |           |        |           |
|                                                                | rougeL | low  |   2.22    | 35.37  |    4.16   |
|                                                                | rougeL | mid  |   2.76    | 42.28  |    5.08   |
|                                                                | rougeL | high |   3.43    | 49.19  |    6.10   |
|           persiannlp/parsinlu_entailment - evaluate            |        |      |           |        |           |
|                                                                | rougeL | low  |   4.57    | 54.20  |    8.38   |
|                                                                | rougeL | mid  |   5.31    | 62.47  |    9.73   |
|                                                                | rougeL | high |   6.02    | 69.65  |   11.00   |
|        persiannlp/parsinlu_entailment - claim_relation         |        |      |           |        |           |
|                                                                | rougeL | low  |   3.76    | 76.82  |    7.14   |
|                                                                | rougeL | mid  |   4.14    | 82.93  |    7.86   |
|                                                                | rougeL | high |   4.50    | 89.02  |    8.53   |
|           persiannlp/parsinlu_entailment - classify            |        |      |           |        |           |
|                                                                | rougeL | low  |   1.69    | 29.26  |    3.19   |
|                                                                | rougeL | mid  |   2.04    | 34.55  |    3.84   |
|                                                                | rougeL | high |   2.42    | 41.46  |    4.57   |
|          persiannlp/parsinlu_entailment - comparison           |        |      |           |        |           |
|                                                                | rougeL | low  |   3.72    | 27.48  |    6.55   |
|                                                                | rougeL | mid  |   4.30    | 31.65  |    7.55   |
|                                                                | rougeL | high |   4.85    | 35.50  |    8.50   |
|             persiannlp/parsinlu_query_paraphrasing             |        |      |           |        |           |
|   persiannlp/parsinlu_query_paraphrasing - compare_two_sents   |        |      |           |        |           |
|                                                                | rougeL | low  |   2.01    | 82.11  |    3.92   |
|                                                                | rougeL | mid  |   2.17    | 87.80  |    4.24   |
|                                                                | rougeL | high |   2.32    | 93.50  |    4.52   |
|   persiannlp/parsinlu_query_paraphrasing - different_or_same   |        |      |           |        |           |
|                                                                | rougeL | low  |   2.07    | 78.86  |    4.03   |
|                                                                | rougeL | mid  |   2.34    | 85.37  |    4.53   |
|                                                                | rougeL | high |   2.74    | 91.06  |    5.18   |
|     persiannlp/parsinlu_query_paraphrasing - sucess_level      |        |      |           |        |           |
|                                                                | rougeL | low  |   4.95    | 80.08  |    9.18   |
|                                                                | rougeL | mid  |   6.24    | 84.55  |   10.93   |
|                                                                | rougeL | high |   7.99    | 89.02  |   13.15   |
|   persiannlp/parsinlu_query_paraphrasing - relatable_or_not    |        |      |           |        |           |
|                                                                | rougeL | low  |   7.25    | 80.49  |   11.94   |
|                                                                | rougeL | mid  |   9.51    | 86.99  |   15.09   |
|                                                                | rougeL | high |   12.24   | 92.68  |   18.84   |
|     persiannlp/parsinlu_query_paraphrasing - never_always      |        |      |           |        |           |
|                                                                | rougeL | low  |   2.29    | 75.61  |    4.45   |
|                                                                | rougeL | mid  |   2.54    | 82.93  |    4.91   |
|                                                                | rougeL | high |   2.77    | 89.43  |    5.36   |
|    persiannlp/parsinlu_query_paraphrasing - similar_or_not     |        |      |           |        |           |
|                                                                | rougeL | low  |   2.39    | 86.99  |    4.64   |
|                                                                | rougeL | mid  |   2.56    | 91.87  |    4.97   |
|                                                                | rougeL | high |   2.74    | 95.96  |    5.32   |
|              PNLPhub/digikala-sentiment-analysis               |        |      |           |        |           |
|     PNLPhub/digikala-sentiment-analysis - generate_comment     |        |      |           |        |           |
|                                                                | rougeL | low  |   8.41    | 10.16  |    7.89   |
|                                                                | rougeL | mid  |   9.65    | 11.85  |    8.77   |
|                                                                | rougeL | high |   10.97   | 13.68  |    9.70   |
|          PNLPhub/digikala-sentiment-analysis - is_avg          |        |      |           |        |           |
|                                                                | rougeL | low  |   0.42    | 12.20  |    0.81   |
|                                                                | rougeL | mid  |   0.67    | 18.70  |    1.28   |
|                                                                | rougeL | high |   0.92    | 26.02  |    1.77   |
|          PNLPhub/digikala-sentiment-analysis - is_bad          |        |      |           |        |           |
|                                                                | rougeL | low  |   3.22    | 87.80  |    6.21   |
|                                                                | rougeL | mid  |   3.47    | 92.68  |    6.68   |
|                                                                | rougeL | high |   3.68    | 96.75  |    7.08   |
|         PNLPhub/digikala-sentiment-analysis - is_good          |        |      |           |        |           |
|                                                                | rougeL | low  |   1.92    | 52.85  |    3.67   |
|                                                                | rougeL | mid  |   2.34    | 61.79  |    4.46   |
|                                                                | rougeL | high |   2.87    | 69.92  |    5.38   |
|     PNLPhub/digikala-sentiment-analysis - is_it_pos_or_neg     |        |      |           |        |           |
|                                                                | rougeL | low  |   2.14    | 59.35  |    4.11   |
|                                                                | rougeL | mid  |   2.58    | 68.29  |    4.90   |
|                                                                | rougeL | high |   3.14    | 75.61  |    5.87   |
|        PNLPhub/digikala-sentiment-analysis - is_perfect        |        |      |           |        |           |
|                                                                | rougeL | low  |   1.98    | 56.10  |    3.79   |
|                                                                | rougeL | mid  |   2.35    | 64.23  |    4.49   |
|                                                                | rougeL | high |   2.75    | 72.36  |    5.21   |
|       PNLPhub/digikala-sentiment-analysis - is_terrible        |        |      |           |        |           |
|                                                                | rougeL | low  |   0.96    | 29.27  |    1.86   |
|                                                                | rougeL | mid  |   1.23    | 37.40  |    2.39   |
|                                                                | rougeL | high |   1.53    | 45.55  |    2.95   |
|      PNLPhub/digikala-sentiment-analysis - specify_categ       |        |      |           |        |           |
|                                                                | rougeL | low  |   2.25    | 68.29  |    4.35   |
|                                                                | rougeL | mid  |   2.53    | 76.42  |    4.89   |
|                                                                | rougeL | high |   2.82    | 84.55  |    5.44   |
|       PNLPhub/digikala-sentiment-analysis - star_rating        |        |      |           |        |           |
|                                                                | rougeL | low  |   3.29    | 57.71  |    6.23   |
|                                                                | rougeL | mid  |   3.63    | 63.01  |    6.85   |
|                                                                | rougeL | high |   3.96    | 67.90  |    7.48   |
|    PNLPhub/digikala-sentiment-analysis - what_is_sentiment     |        |      |           |        |           |
|                                                                | rougeL | low  |   2.59    | 69.11  |    4.98   |
|                                                                | rougeL | mid  |   2.95    | 76.42  |    5.65   |
|                                                                | rougeL | high |   3.36    | 83.76  |    6.37   |
|              PNLPhub/snappfood-sentiment-analysis              |        |      |           |        |           |
|      PNLPhub/snappfood-sentiment-analysis - gen_sentiment      |        |      |           |        |           |
|                                                                | rougeL | low  |   0.18    |  4.88  |    0.34   |
|                                                                | rougeL | mid  |   0.55    |  9.76  |    0.96   |
|                                                                | rougeL | high |   1.24    | 15.45  |    2.01   |
|        PNLPhub/snappfood-sentiment-analysis - feelings         |        |      |           |        |           |
|                                                                | rougeL | low  |   4.85    | 23.46  |    8.03   |
|                                                                | rougeL | mid  |   5.58    | 27.06  |    9.22   |
|                                                                | rougeL | high |   6.26    | 30.43  |   10.35   |
|        PNLPhub/snappfood-sentiment-analysis - is_it_neg        |        |      |           |        |           |
|                                                                | rougeL | low  |   0.05    |  1.63  |    0.10   |
|                                                                | rougeL | mid  |   0.17    |  4.88  |    0.33   |
|                                                                | rougeL | high |   0.32    |  8.94  |    0.62   |
|    PNLPhub/snappfood-sentiment-analysis - is_it_pos_or_neg     |        |      |           |        |           |
|                                                                | rougeL | low  |   3.98    | 71.54  |    7.23   |
|                                                                | rougeL | mid  |   5.18    | 78.86  |    9.09   |
|                                                                | rougeL | high |   6.43    | 86.18  |   11.10   |
|        PNLPhub/snappfood-sentiment-analysis - is_it_pos        |        |      |           |        |           |
|                                                                | rougeL | low  |   0.07    |  1.63  |    0.14   |
|                                                                | rougeL | mid  |   0.42    |  5.69  |    0.70   |
|                                                                | rougeL | high |   1.16    | 10.57  |    1.82   |
|     PNLPhub/snappfood-sentiment-analysis - recommendation      |        |      |           |        |           |
|                                                                | rougeL | low  |   3.08    | 100.00 |    5.97   |
|                                                                | rougeL | mid  |   3.18    | 100.00 |    6.16   |
|                                                                | rougeL | high |   3.30    | 100.00 |    6.38   |
|  PNLPhub/snappfood-sentiment-analysis - to_which_does_belong   |        |      |           |        |           |
|                                                                | rougeL | low  |   1.95    | 69.92  |    3.78   |
|                                                                | rougeL | mid  |   2.15    | 77.24  |    4.17   |
|                                                                | rougeL | high |   2.35    | 84.55  |    4.58   |
|    PNLPhub/snappfood-sentiment-analysis - what_is_sentiment    |        |      |           |        |           |
|                                                                | rougeL | low  |   2.14    | 69.90  |    4.15   |
|                                                                | rougeL | mid  |   2.52    | 77.24  |    4.83   |
|                                                                | rougeL | high |   3.02    | 84.55  |    5.66   |
|       PNLPhub/snappfood-sentiment-analysis - possibility       |        |      |           |        |           |
|                                                                | rougeL | low  |   1.97    |  6.34  |    2.99   |
|                                                                | rougeL | mid  |   2.52    |  7.80  |    3.76   |
|                                                                | rougeL | high |   3.05    |  9.27  |    4.52   |
|          PNLPhub/snappfood-sentiment-analysis - rate           |        |      |           |        |           |
|                                                                | rougeL | low  |   4.69    | 80.49  |    8.86   |
|                                                                | rougeL | mid  |   4.97    | 84.55  |    9.37   |
|                                                                | rougeL | high |   5.23    | 88.62  |    9.85   |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
