+-----------------------------------------------------------------------------------------------------------------+
|                                     fine-tuned-ava-with-co-cola-v2-on24temps                                    |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                            Section                             | Score  | Type | Precision | Recall | F-Measure |
|                                                                | rougeL | high |   58.00   | 100.00 |   65.71   |
|                  PNLPhub/FarsTail - evaluate                   |        |      |           |        |           |
|                                                                | rougeL | low  |   6.67    | 10.00  |    8.00   |
|                                                                | rougeL | mid  |   20.00   | 30.00  |   24.00   |
|                                                                | rougeL | high |   40.00   | 60.00  |   48.00   |
|                 persiannlp/parsinlu_entailment                 |        |      |           |        |           |
|          persiannlp/parsinlu_entailment - GPT3_Style           |        |      |           |        |           |
|                                                                | rougeL | low  |   10.00   | 30.00  |   15.00   |
|                                                                | rougeL | mid  |   20.00   | 60.00  |   30.00   |
|                                                                | rougeL | high |   30.00   | 90.00  |   45.00   |
| persiannlp/parsinlu_entailment - based_on_the_previous_passage |        |      |           |        |           |
|                                                                | rougeL | low  |   14.19   | 100.00 |   22.07   |
|                                                                | rougeL | mid  |   26.05   | 100.00 |   37.64   |
|                                                                | rougeL | high |   37.95   | 100.00 |   53.14   |
|         persiannlp/parsinlu_entailment - can_you_infer         |        |      |           |        |           |
|                                                                | rougeL | low  |   7.78    | 30.00  |   12.00   |
|                                                                | rougeL | mid  |   17.78   | 60.00  |   27.00   |
|                                                                | rougeL | high |   27.78   | 90.00  |   42.00   |
|        persiannlp/parsinlu_entailment - does_this_imply        |        |      |           |        |           |
|                                                                | rougeL | low  |   24.64   | 100.00 |   37.50   |
|                                                                | rougeL | mid  |   37.10   | 100.00 |   50.83   |
|                                                                | rougeL | high |   53.33   | 100.00 |   65.00   |
|          persiannlp/parsinlu_entailment - confidence           |        |      |           |        |           |
|                                                                | rougeL | low  |   55.00   | 50.00  |   53.33   |
|                                                                | rougeL | mid  |   70.00   | 65.00  |   66.67   |
|                                                                | rougeL | high |   85.00   | 80.00  |   80.00   |
|           persiannlp/parsinlu_entailment - evaluate            |        |      |           |        |           |
|                                                                | rougeL | low  |   27.13   | 40.00  |   30.57   |
|                                                                | rougeL | mid  |   55.89   | 70.00  |   60.00   |
|                                                                | rougeL | high |   82.14   | 90.00  |   84.44   |
|        persiannlp/parsinlu_entailment - claim_relation         |        |      |           |        |           |
|                                                                | rougeL | low  |   28.00   | 70.00  |   40.00   |
|                                                                | rougeL | mid  |   38.67   | 90.00  |   53.71   |
|                                                                | rougeL | high |   48.00   | 100.00 |   64.00   |
|           persiannlp/parsinlu_entailment - classify            |        |      |           |        |           |
|                                                                | rougeL | low  |   21.82   | 50.00  |   23.45   |
|                                                                | rougeL | mid  |   41.30   | 65.00  |   42.48   |
|                                                                | rougeL | high |   65.53   | 80.00  |   66.00   |
|          persiannlp/parsinlu_entailment - comparison           |        |      |           |        |           |
|                                                                | rougeL | low  |   5.19    | 34.67  |    9.07   |
|                                                                | rougeL | mid  |   7.20    | 37.67  |   11.57   |
|                                                                | rougeL | high |   10.72   | 41.00  |   15.89   |
|             persiannlp/parsinlu_query_paraphrasing             |        |      |           |        |           |
|   persiannlp/parsinlu_query_paraphrasing - compare_two_sents   |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   1.11    | 10.00  |    2.00   |
|                                                                | rougeL | high |   3.33    | 30.00  |    6.00   |
|   persiannlp/parsinlu_query_paraphrasing - different_or_same   |        |      |           |        |           |
|                                                                | rougeL | low  |   30.00   | 30.00  |   30.00   |
|                                                                | rougeL | mid  |   60.00   | 60.00  |   60.00   |
|                                                                | rougeL | high |   90.00   | 90.00  |   90.00   |
|     persiannlp/parsinlu_query_paraphrasing - sucess_level      |        |      |           |        |           |
|                                                                | rougeL | low  |   55.95   | 65.00  |   56.74   |
|                                                                | rougeL | mid  |   75.48   | 80.00  |   75.87   |
|                                                                | rougeL | high |   95.00   | 95.00  |   95.00   |
|   persiannlp/parsinlu_query_paraphrasing - relatable_or_not    |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | high |   0.00    |  0.00  |    0.00   |
|     persiannlp/parsinlu_query_paraphrasing - never_always      |        |      |           |        |           |
|                                                                | rougeL | low  |   5.83    | 100.00 |   10.56   |
|                                                                | rougeL | mid  |   18.71   | 100.00 |   26.80   |
|                                                                | rougeL | high |   32.69   | 100.00 |   44.84   |
|    persiannlp/parsinlu_query_paraphrasing - similar_or_not     |        |      |           |        |           |
|                                                                | rougeL | low  |   3.00    | 20.00  |    5.45   |
|                                                                | rougeL | mid  |   13.25   | 50.00  |   19.60   |
|                                                                | rougeL | high |   26.59   | 80.00  |   37.06   |
|                        PNLPhub/DigiMag                         |        |      |           |        |           |
|                PNLPhub/DigiMag - generate_text                 |        |      |           |        |           |
|                                                                | rougeL | low  |   19.95   |  4.32  |    7.00   |
|                                                                | rougeL | mid  |   26.94   |  6.41  |   10.20   |
|                                                                | rougeL | high |   31.66   |  8.06  |   12.64   |
|          PNLPhub/DigiMag - in_which_categ_would_it_go          |        |      |           |        |           |
|                                                                | rougeL | low  |   0.43    |  6.67  |    0.80   |
|                                                                | rougeL | mid  |   20.40   | 26.67  |   20.75   |
|                                                                | rougeL | high |   50.23   | 53.33  |   50.43   |
|               PNLPhub/DigiMag - classify_content               |        |      |           |        |           |
|                                                                | rougeL | low  |   0.99    | 14.96  |    1.83   |
|                                                                | rougeL | mid  |   18.21   | 33.33  |   19.93   |
|                                                                | rougeL | high |   42.97   | 60.00  |   46.60   |
|            PNLPhub/DigiMag - does_it_belong_to_art             |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | high |   0.00    |  0.00  |    0.00   |
|            PNLPhub/DigiMag - does_it_belong_to_book            |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   10.00   | 20.00  |   13.33   |
|                                                                | rougeL | high |   25.00   | 50.00  |   33.33   |
|          PNLPhub/DigiMag - does_it_belong_to_cosmetic          |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | high |   0.00    |  0.00  |    0.00   |
|            PNLPhub/DigiMag - does_it_belong_to_game            |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   1.43    | 10.00  |    2.50   |
|                                                                | rougeL | high |   4.29    | 30.00  |    7.50   |
|          PNLPhub/DigiMag - does_it_belong_to_general           |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | high |   0.00    |  0.00  |    0.00   |
|            PNLPhub/DigiMag - does_it_belong_to_shop            |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | high |   0.00    |  0.00  |    0.00   |
|           PNLPhub/DigiMag - does_it_belong_to_techno           |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | high |   0.00    |  0.00  |    0.00   |
|              PNLPhub/digikala-sentiment-analysis               |        |      |           |        |           |
|     PNLPhub/digikala-sentiment-analysis - generate_comment     |        |      |           |        |           |
|                                                                | rougeL | low  |   5.19    |  9.19  |    6.46   |
|                                                                | rougeL | mid  |   8.17    | 14.38  |    8.42   |
|                                                                | rougeL | high |   11.22   | 22.81  |   10.16   |
|          PNLPhub/digikala-sentiment-analysis - is_avg          |        |      |           |        |           |
|                                                                | rougeL | low  |   0.24    | 10.00  |    0.48   |
|                                                                | rougeL | mid  |   1.06    | 30.00  |    2.05   |
|                                                                | rougeL | high |   2.23    | 60.00  |    4.29   |
|          PNLPhub/digikala-sentiment-analysis - is_bad          |        |      |           |        |           |
|                                                                | rougeL | low  |   4.55    | 100.00 |    8.70   |
|                                                                | rougeL | mid  |   13.64   | 100.00 |   20.29   |
|                                                                | rougeL | high |   27.27   | 100.00 |   37.68   |
|         PNLPhub/digikala-sentiment-analysis - is_good          |        |      |           |        |           |
|                                                                | rougeL | low  |   10.00   | 20.00  |   13.33   |
|                                                                | rougeL | mid  |   35.00   | 50.00  |   40.00   |
|                                                                | rougeL | high |   60.00   | 80.00  |   66.67   |
|     PNLPhub/digikala-sentiment-analysis - is_it_pos_or_neg     |        |      |           |        |           |
|                                                                | rougeL | low  |   4.00    | 20.00  |    6.67   |
|                                                                | rougeL | mid  |   11.50   | 50.00  |   18.33   |
|                                                                | rougeL | high |   20.00   | 80.00  |   31.68   |
|        PNLPhub/digikala-sentiment-analysis - is_perfect        |        |      |           |        |           |
|                                                                | rougeL | low  |   4.97    | 40.00  |    8.72   |
|                                                                | rougeL | mid  |   24.97   | 70.00  |   28.96   |
|                                                                | rougeL | high |   52.09   | 100.00 |   54.21   |
|       PNLPhub/digikala-sentiment-analysis - is_terrible        |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   0.89    | 20.00  |    1.70   |
|                                                                | rougeL | high |   1.80    | 40.00  |    3.44   |
|      PNLPhub/digikala-sentiment-analysis - specify_categ       |        |      |           |        |           |
|                                                                | rougeL | low  |   0.64    | 20.00  |    1.25   |
|                                                                | rougeL | mid  |   15.94   | 50.00  |   18.50   |
|                                                                | rougeL | high |   36.68   | 80.00  |   41.84   |
|       PNLPhub/digikala-sentiment-analysis - star_rating        |        |      |           |        |           |
|                                                                | rougeL | low  |   55.00   | 55.00  |   55.00   |
|                                                                | rougeL | mid  |   65.00   | 65.00  |   65.00   |
|                                                                | rougeL | high |   80.00   | 80.00  |   80.00   |
|    PNLPhub/digikala-sentiment-analysis - what_is_sentiment     |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | high |   0.00    |  0.00  |    0.00   |
|              PNLPhub/snappfood-sentiment-analysis              |        |      |           |        |           |
|      PNLPhub/snappfood-sentiment-analysis - gen_sentiment      |        |      |           |        |           |
|                                                                | rougeL | low  |   1.69    | 50.00  |    3.28   |
|                                                                | rougeL | mid  |   2.71    | 80.00  |    5.24   |
|                                                                | rougeL | high |   3.47    | 100.00 |    6.70   |
|        PNLPhub/snappfood-sentiment-analysis - feelings         |        |      |           |        |           |
|                                                                | rougeL | low  |   4.31    | 10.00  |    5.83   |
|                                                                | rougeL | mid  |   15.76   | 14.29  |    9.88   |
|                                                                | rougeL | high |   36.63   | 18.57  |   14.28   |
|        PNLPhub/snappfood-sentiment-analysis - is_it_neg        |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   0.59    | 10.00  |    1.11   |
|                                                                | rougeL | high |   1.76    | 30.00  |    3.33   |
|    PNLPhub/snappfood-sentiment-analysis - is_it_pos_or_neg     |        |      |           |        |           |
|                                                                | rougeL | low  |   65.00   | 70.00  |   66.67   |
|                                                                | rougeL | mid  |   85.00   | 90.00  |   86.67   |
|                                                                | rougeL | high |  100.00   | 100.00 |   100.00  |
|        PNLPhub/snappfood-sentiment-analysis - is_it_pos        |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | high |   0.00    |  0.00  |    0.00   |
|     PNLPhub/snappfood-sentiment-analysis - recommendation      |        |      |           |        |           |
|                                                                | rougeL | low  |   70.71   | 100.00 |   71.40   |
|                                                                | rougeL | mid  |   90.24   | 100.00 |   90.47   |
|                                                                | rougeL | high |  100.00   | 100.00 |   100.00  |
|  PNLPhub/snappfood-sentiment-analysis - to_which_does_belong   |        |      |           |        |           |
|                                                                | rougeL | low  |   50.00   | 50.00  |   50.00   |
|                                                                | rougeL | mid  |   80.00   | 80.00  |   80.00   |
|                                                                | rougeL | high |  100.00   | 100.00 |   100.00  |
|    PNLPhub/snappfood-sentiment-analysis - what_is_sentiment    |        |      |           |        |           |
|                                                                | rougeL | low  |   70.00   | 100.00 |   77.95   |
|                                                                | rougeL | mid  |   87.50   | 100.00 |   90.67   |
|                                                                | rougeL | high |  100.00   | 100.00 |   100.00  |
|       PNLPhub/snappfood-sentiment-analysis - possibility       |        |      |           |        |           |
|                                                                | rougeL | low  |   0.48    |  1.00  |    0.77   |
|                                                                | rougeL | mid  |   2.38    |  5.00  |    2.75   |
|                                                                | rougeL | high |   5.29    | 10.00  |    5.51   |
|          PNLPhub/snappfood-sentiment-analysis - rate           |        |      |           |        |           |
|                                                                | rougeL | low  |   51.60   | 85.00  |   57.91   |
|                                                                | rougeL | mid  |   75.63   | 95.00  |   78.96   |
|                                                                | rougeL | high |  100.00   | 100.00 |   100.00  |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
